"","Group.1","sr87_86","SE.1s.","Li","B","Na","Mg","Al","K","Ca","Ti","V","Mn","Fe","Ni","Cu","Zn","As","Rb","Sr","Sb","Ba","La","Ce","Pr","Nd","Ho","Tl","Pb","U"
"33",35,0.71097,1e-05,8.21917808219178e-05,0.00246575342465753,6.0958904109589,0.501369863013699,0.0010958904109589,0.315068493150685,7.3,8.21917808219178e-05,1.36986301369863e-05,0.101912328767123,0.0026027397260274,0.000128767123287671,8.21917808219178e-05,0.00149315068493151,6.84931506849315e-05,0.000458904109589041,0.00712328767123288,4.10958904109589e-06,0.00823287671232877,9.04109589041096e-06,2.05479452054794e-05,2.73972602739726e-06,1.19178082191781e-05,5.47945205479452e-07,4.10958904109589e-06,2.73972602739726e-06,2.46575342465753e-06
"34",36,0.70945,1e-05,8.08080808080808e-05,0.00525252525252525,13.5454545454545,0.815151515151515,0.000909090909090909,0.626262626262626,9.9,4.04040404040404e-05,1.01010101010101e-05,0.0113191919191919,0.000404040404040404,6.26262626262626e-05,7.07070707070707e-05,0.000171717171717172,3.03030303030303e-05,0.000651515151515152,0.0108080808080808,3.03030303030303e-06,0.00558585858585859,2.72727272727273e-06,5.05050505050505e-06,7.07070707070707e-07,4.54545454545455e-06,3.03030303030303e-07,3.03030303030303e-06,2.02020202020202e-06,1.11111111111111e-06
"35",37,0.70946,1e-05,7.84313725490196e-05,0.0053921568627451,13.4313725490196,0.803921568627451,0.000882352941176471,0.627450980392157,10.2,3.92156862745098e-05,9.80392156862745e-06,0.0111186274509804,0.000392156862745098,6.37254901960784e-05,8.82352941176471e-05,0.000186274509803922,3.92156862745098e-05,0.000647058823529412,0.0106862745098039,2.94117647058824e-06,0.00550980392156863,2.54901960784314e-06,5.88235294117647e-06,7.84313725490196e-07,4.01960784313726e-06,2.94117647058824e-07,2.94117647058824e-06,1.96078431372549e-06,1.17647058823529e-06
"36",38,0.70984,2e-05,0.000114754098360656,0.00491803278688525,11.344262295082,0.588524590163934,0.00180327868852459,0.557377049180328,6.1,6.55737704918033e-05,2.45901639344262e-05,0.00733770491803279,0.00459016393442623,7.21311475409836e-05,9.83606557377049e-05,0.00059016393442623,6.55737704918033e-05,0.000647540983606557,0.00950819672131148,4.91803278688525e-06,0.00488524590163934,4.91803278688525e-06,8.19672131147541e-06,9.83606557377049e-07,8.68852459016394e-06,4.91803278688525e-07,4.91803278688525e-06,3.27868852459016e-06,1.63934426229508e-06
"37",39,0.71056,1e-05,9.74576271186441e-05,0.000805084745762712,0.288135593220339,0.220762711864407,0.000508474576271186,0.0508474576271186,23.6,2.11864406779661e-05,3.94067796610169e-05,3.17796610169492e-05,0.000127118644067797,1.0593220338983e-05,2.54237288135593e-05,3.38983050847458e-05,5.93220338983051e-05,5.46610169491525e-05,0.00525423728813559,2.3728813559322e-05,0.00107203389830508,3.38983050847458e-07,8.47457627118644e-07,1.69491525423729e-07,8.47457627118644e-07,1.27118644067797e-07,1.27118644067797e-06,8.47457627118644e-07,2.00847457627119e-05
"38",40,0.71057,1e-05,0.00010126582278481,0.000759493670886076,0.286919831223629,0.228270042194093,0.000548523206751055,0.0506329113924051,23.7,1.68776371308017e-05,3.79746835443038e-05,3.92405063291139e-05,0.000126582278481013,7.59493670886076e-06,1.68776371308017e-05,3.79746835443038e-05,5.90717299578059e-05,5.73839662447257e-05,0.00544303797468354,2.40506329113924e-05,0.00110126582278481,3.37552742616034e-07,8.43881856540085e-07,1.68776371308017e-07,8.43881856540085e-07,1.26582278481013e-07,1.26582278481013e-06,8.43881856540085e-07,2.09282700421941e-05
"39",41,0.71055,1e-05,9.74576271186441e-05,0.000720338983050847,0.283898305084746,0.225423728813559,0.000593220338983051,0.0508474576271186,23.6,1.69491525423729e-05,3.98305084745763e-05,7.03389830508474e-05,0.000338983050847458,1.27118644067797e-05,0.000105932203389831,3.38983050847458e-05,5.93220338983051e-05,5.76271186440678e-05,0.00538135593220339,2.33050847457627e-05,0.00109322033898305,3.38983050847458e-07,8.47457627118644e-07,1.69491525423729e-07,8.47457627118644e-07,1.27118644067797e-07,1.27118644067797e-06,3.8135593220339e-06,2.03813559322034e-05
"40",43,0.71022,1e-05,0.000146341463414634,0.00219512195121951,2.29268292682927,0.295121951219512,0.00268292682926829,0.365853658536585,4.1,9.75609756097561e-05,2.4390243902439e-05,0.000417073170731707,0.00634146341463415,6.34146341463415e-05,0.000195121951219512,0.000365853658536585,0.000121951219512195,0.000646341463414634,0.00731707317073171,4.87804878048781e-06,0.00636585365853659,5.1219512195122e-06,7.31707317073171e-06,9.75609756097561e-07,5.1219512195122e-06,7.31707317073171e-07,7.31707317073171e-06,9.75609756097561e-06,2.4390243902439e-06
"41",44,0.7107,1e-05,9.33333333333333e-05,0.000844444444444444,0.324444444444444,0.286222222222222,0.000666666666666667,0.08,22.5,2.22222222222222e-05,4.13333333333333e-05,5.95555555555556e-05,0.000355555555555556,1.33333333333333e-05,3.11111111111111e-05,4e-05,6.22222222222222e-05,0.000102222222222222,0.00524444444444444,2.26666666666667e-05,0.00111555555555556,3.55555555555556e-07,8.88888888888889e-07,1.77777777777778e-07,8.88888888888889e-07,1.33333333333333e-07,1.33333333333333e-06,8.88888888888889e-07,2.20888888888889e-05
"42",45,0.71068,1e-05,0.000169642857142857,0.000803571428571429,0.325892857142857,0.285267857142857,0.000491071428571429,0.0803571428571429,22.4,1.78571428571429e-05,4.28571428571429e-05,5.26785714285714e-05,0.000714285714285714,1.47321428571429e-05,2.23214285714286e-05,0.000616071428571429,6.69642857142857e-05,0.000103571428571429,0.00526785714285714,2.23214285714286e-05,0.00111607142857143,5.80357142857143e-07,8.92857142857143e-07,1.78571428571429e-07,8.92857142857143e-07,1.33928571428571e-07,1.33928571428571e-06,6.69642857142857e-06,2.23660714285714e-05
"43",46,0.70965,1e-05,6.25e-05,0.0015625,2.72916666666667,0.282291666666667,0.00135416666666667,0.229166666666667,9.6,4.16666666666667e-05,2.91666666666667e-05,2.60416666666667e-05,0.00125,5e-05,5.20833333333333e-05,8.33333333333333e-05,7.29166666666667e-05,0.000409375,0.0075,4.16666666666667e-06,0.00505208333333333,1.04166666666667e-06,2.08333333333333e-06,4.16666666666667e-07,2.08333333333333e-06,3.125e-07,3.125e-06,4.16666666666667e-06,2.91666666666667e-06
"44",48,0.70906,1e-05,6.38297872340425e-05,0.00170212765957447,2.91489361702128,0.314893617021277,0.00117021276595745,0.287234042553192,9.4,4.25531914893617e-05,2.97872340425532e-05,7.5531914893617e-05,0.00191489361702128,6.48936170212766e-05,0.000127659574468085,0.000234042553191489,8.51063829787234e-05,0.000512765957446808,0.00840425531914894,3.19148936170213e-06,0.00468085106382979,9.57446808510638e-07,2.12765957446809e-06,4.25531914893617e-07,2.12765957446809e-06,3.19148936170213e-07,3.19148936170213e-06,2.12765957446809e-06,1.15957446808511e-05
"45",49,0.71061,1e-05,4.95867768595041e-05,0.00132231404958678,3.9504132231405,0.26198347107438,0.000743801652892562,0.214876033057851,12.1,3.30578512396694e-05,1.2396694214876e-05,1.65289256198347e-05,0.000330578512396694,4.54545454545455e-05,4.95867768595041e-05,9.09090909090909e-05,4.95867768595041e-05,0.000322314049586777,0.00652892561983471,3.30578512396694e-06,0.00550413223140496,8.26446280991736e-07,1.65289256198347e-06,3.30578512396694e-07,1.65289256198347e-06,2.47933884297521e-07,2.47933884297521e-06,1.65289256198347e-06,3.55371900826446e-06
